resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
5,18,5,1,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1
28,19,2,2,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1
49,20,5,1,23,5,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1
91,22,8,6,1,4,3,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1
117,23,8,6,1,2,9,9,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,1
146,24,8,6,1,3,\N,R,18,0.0,19,\N,\N,14,1,1:17.387,202.871,4
150,25,8,6,1,1,2,2,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,1
172,26,8,6,1,3,4,4,4,5.0,59,\N,\N,18,1,1:32.150,200.842,11
192,27,2,2,3,12,4,4,4,5.0,67,+9.825,5490699,52,1,1:15.987,216.700,1
211,28,8,6,1,6,3,3,3,6.0,70,+16.856,5863923,61,1,1:21.195,194.243,1
229,29,13,6,2,1,1,1,1,10.0,57,1:35:32.339,5732339,36,1,1:38.708,197.637,1
266,30,8,6,1,4,18,18,18,0.0,42,\N,\N,24,1,1:47.930,233.618,20
277,31,8,6,1,14,9,9,9,0.0,53,+39.468,5246962,53,1,1:28.047,236.859,1
303,32,8,6,1,3,15,15,15,0.0,57,\N,\N,14,1,1:45.599,172.740,3
315,33,13,6,2,5,7,7,7,2.0,67,+46.158,5468050,55,1,1:18.426,209.456,1
329,34,1,1,22,1,1,1,1,10.0,56,1:31:57.403,5517403,13,1,1:36.325,203.722,1
349,35,13,6,2,1,1,1,1,10.0,71,1:34:11.435,5651435,36,1,1:13.736,210.377,1
369,36,8,6,6,1,1,1,1,10.0,58,1:25:28.770,5128770,41,1,1:25.235,223.978,1
392,37,1,1,2,4,2,2,2,8.0,56,+17.557,5552487,22,1,1:36.701,206.355,1
413,38,13,6,5,1,1,1,1,10.0,57,1:33:27.515,5607515,42,1,1:34.067,207.120,1
435,39,13,6,5,1,1,1,1,10.0,65,1:31:36.230,5496230,14,1,1:22.680,202.685,1
457,40,4,1,1,1,1,1,1,10.0,78,1:40:29.329,6029329,44,1,1:15.284,159.715,1
485,41,4,1,1,2,7,7,7,2.0,70,+21.936,6273228,46,1,1:16.367,205.580,1
504,42,8,6,6,4,4,4,4,5.0,73,+15.4,5485365,49,1,1:13.117,206.397,1
524,43,13,6,5,1,2,2,2,8.0,70,+2.414,5456614,42,1,1:16.099,208.670,1
545,44,8,6,6,2,1,1,1,10.0,59,1:21:43.074,4903074,17,1,1:20.638,229.514,1
568,45,13,6,5,3,2,2,2,8.0,60,+8.155,7594513,34,1,1:32.853,199.592,1
590,46,8,6,6,3,2,2,2,8.0,70,+0.715,5753706,70,1,1:20.047,197.029,1
612,47,8,6,6,3,2,2,2,8.0,58,+2.275,5204436,57,1,1:27.295,220.136,1
633,48,4,1,1,1,1,1,1,10.0,53,1:18:37.806,4717806,15,1,1:22.871,251.653,1
656,49,13,6,5,2,2,2,2,8.0,44,+4.695,4843761,34,1,1:48.036,233.388,1
677,50,1,1,2,1,1,1,1,10.0,67,2:00:34.579,7234579,27,1,1:28.193,186.259,1
701,51,13,6,5,3,3,3,3,6.0,56,+12.891,5891286,56,1,1:37.454,201.362,1
721,52,8,6,6,3,1,1,1,10.0,71,1:28:15.270,5295270,66,1,1:12.445,214.126,1
749,53,3,3,10,12,7,7,7,2.0,57,+1:03.043,5449248,42,1,1:32.408,210.838,1
766,54,4,4,1,7,2,2,2,8.0,56,+4.585,5445114,45,1,1:34.803,210.487,1
788,55,8,1,3,4,2,2,2,8.0,57,+1.8,5669670,57,1,1:26.045,221.869,1
810,56,4,4,1,5,2,2,2,8.0,62,+2.096,5468582,23,1,1:24.569,211.098,1
831,57,30,6,5,2,1,1,1,10.0,60,1:35:58.765,5758765,39,1,1:32.099,201.226,1
856,58,13,6,6,4,4,4,4,5.0,66,+29.853,5211612,42,1,1:16.648,217.320,1
879,59,30,6,5,22,5,5,5,4.0,78,+53.830,6276946,74,1,1:15.143,160.014,1
897,60,4,4,1,1,1,1,1,10.0,60,1:25:51.927,5151927,21,1,1:21.599,226.811,1
921,61,8,1,3,3,3,3,3,6.0,70,+8.8,5686108,22,1,1:15.841,207.006,1
941,62,30,6,5,1,1,1,1,10.0,73,1:34:35.199,5675199,56,1,1:12.719,207.527,1
963,63,30,6,5,1,1,1,1,10.0,70,1:32:07.803,5527803,46,1,1:17.111,205.931,1
985,64,30,6,5,2,1,1,1,10.0,67,1:27:51.693,5271693,17,1,1:16.357,215.650,1
1013,65,13,6,6,2,7,7,7,2.0,69,\N,\N,65,1,1:23.516,188.845,11
1031,66,30,6,5,2,3,3,3,6.0,58,+5.656,5336738,55,1,1:28.005,218.360,1
1052,67,8,1,3,1,2,2,2,8.0,53,+8.046,4500021,13,1,1:22.559,252.604,1
1074,68,4,4,1,1,2,2,2,8.0,56,+3.121,5855868,49,1,1:37.586,201.090,1
1095,69,4,4,1,5,1,1,1,10.0,53,1:23:52.413,5032413,14,1,1:32.676,225.572,1
1120,70,30,6,5,10,4,4,4,5.0,71,+24.094,5537845,70,1,1:12.162,214.966,1
1141,71,4,4,5,13,3,3,3,6.0,57,+6.712,5064048,24,1,1:25.683,222.807,1
1167,72,8,1,9,6,9,9,9,0.0,56,+1:21.580,5575316,23,1,1:35.483,208.987,1
1183,73,37,1,10,8,5,5,5,4.0,57,+1:04.988,5423519,43,1,1:31.447,213.054,1
1200,74,30,6,1,13,2,2,2,8.0,62,+0.215,5262136,48,1,1:21.858,216.946,1
1223,75,21,4,6,6,5,5,5,4.0,66,+57.936,5294766,66,1,1:15.641,220.213,1
1243,76,30,6,1,8,7,7,7,2.0,78,+37.223,6352779,40,1,1:15.842,158.540,1
1255,77,4,4,5,6,1,1,1,10.0,59,1:31:46.648,5506648,44,1,1:30.711,204.305,1
1275,78,8,1,9,7,1,1,1,10.0,70,1:32:09.290,5529290,23,1,1:14.384,211.061,1
1295,79,30,6,1,5,1,1,1,10.0,73,1:29:43.181,5383181,48,1,1:11.497,211.074,1
1316,80,8,1,9,13,2,2,2,8.0,70,+11.8,5494032,25,1,1:16.423,207.785,1
1337,81,8,1,9,12,3,3,3,6.0,60,+14.4,5083988,60,1,1:20.502,229.902,1
1374,82,8,1,9,1,\N,R,20,0.0,32,\N,\N,24,1,1:14.873,219.924,9
1375,83,8,1,9,4,1,1,1,10.0,70,1:37:25.552,5845552,40,1,1:21.219,194.186,1
1397,84,31,1,10,4,3,3,3,6.0,58,+19.635,5094089,39,1,1:24.770,226.693,1
1418,85,8,1,9,11,4,4,4,5.0,53,+22.775,4491434,51,1,1:21.504,255.874,1
1441,86,23,7,17,5,7,7,7,2.0,44,+1:27.5,5488795,43,1,1:51.453,225.329,1
1456,87,8,1,9,5,2,2,2,8.0,71,+2.527,5363101,29,1,1:12.268,214.651,1
1475,88,8,1,9,17,1,1,1,10.0,53,1:29:02.212,5342212,44,1,1:31.540,228.372,1
1496,89,8,1,9,3,2,2,2,8.0,56,+4.0,5997618,56,1,1:33.242,210.458,1
1515,90,30,6,1,1,1,1,1,10.0,58,1:24:15.757,5055757,29,1,1:24.125,226.933,1
1536,91,31,3,3,4,2,2,2,8.0,56,+5.022,5472512,28,1,1:34.223,211.782,1
1555,92,30,6,1,1,1,1,1,10.0,57,1:28:34.875,5314875,7,1,1:30.252,216.074,1
1575,93,30,6,1,2,1,1,1,10.0,62,1:26:19.670,5179670,10,1,1:20.411,220.850,1
1595,94,30,6,1,1,1,1,1,10.0,66,1:27:32.841,5252841,12,1,1:17.450,215.070,1
1625,95,30,6,1,4,\N,R,11,0.0,45,\N,\N,23,1,1:14.439,161.528,4
1635,96,30,6,1,1,1,1,1,10.0,60,1:32:35.101,5555101,7,1,1:29.468,207.144,1
1656,97,22,6,2,7,2,2,2,8.0,70,+5.108,5309911,68,1,1:13.622,213.246,1
1676,98,22,6,2,1,2,2,2,8.0,73,+2.950,6032864,7,1,1:10.399,214.366,1
1695,99,30,6,1,2,1,1,1,10.0,70,1:30:18.133,5418133,32,1,1:15.377,210.669,1
1715,100,30,6,1,4,1,1,1,10.0,60,1:24:42.700,5082700,14,1,1:18.739,235.049,1
1754,101,8,1,6,3,\N,R,20,0.0,13,\N,\N,10,1,1:13.780,223.182,65
1755,102,30,6,1,1,1,1,1,10.0,70,1:35:26.131,5726131,29,1,1:19.071,199.461,1
1775,103,8,1,6,10,1,1,1,10.0,44,1:32:35.274,5555274,42,1,1:45.108,238.931,1
1795,104,22,6,2,1,1,1,1,10.0,53,1:15:18.448,4518448,41,1,1:21.046,257.320,1
1826,105,30,6,1,20,12,12,12,0.0,55,\N,\N,55,1,1:32.238,212.749,11
1853,106,22,6,2,15,\N,R,19,0.0,38,\N,\N,30,1,1:32.730,225.441,4
1855,107,31,3,3,2,1,1,1,10.0,71,1:28:01.451,5281451,49,1,1:11.473,217.038,1
7559,1,3,3,16,5,6,6,6,3.0,58,+5.722,5661506,48,1,1:27.706,217.668,1
7574,2,18,23,22,1,1,1,1,5.0,31,1:10:52.092,4252092,18,1,1:36.641,206.483,1
7597,3,22,23,23,4,4,4,4,5.0,56,+1:03.704,7127189,42,1,1:52.592,174.289,1
7616,4,15,7,9,1,3,3,3,6.0,57,+9.170,5517352,10,1,1:34.556,206.049,1
7635,5,22,23,23,3,2,2,2,8.0,66,+13.056,5852258,28,1,1:22.762,202.484,1
7657,6,13,6,3,5,4,4,4,5.0,78,+15.110,6059392,50,1,1:15.154,159.991,1
7674,7,18,23,22,2,1,1,1,10.0,58,1:26:24.848,5184848,40,1,1:27.579,219.422,1
7694,8,20,9,15,1,1,1,1,10.0,60,1:22:49.328,4969328,16,1,1:20.735,229.238,1
7720,9,4,4,7,12,7,7,7,2.0,60,+24.888,5828198,49,1,1:33.365,198.498,1
7736,10,17,9,14,3,3,3,3,6.0,70,+16.886,5920762,65,1,1:21.931,192.498,1
7767,11,10,7,10,13,14,14,14,0.0,57,+1:26.519,5837808,55,1,1:38.683,197.687,1
7776,12,20,9,15,8,3,3,3,6.0,44,+3.875,5034870,38,1,1:47.263,235.070,1
7797,13,16,10,20,2,4,4,4,5.0,53,+31.131,4612837,36,1,1:24.739,246.106,1
7816,14,4,4,7,5,3,3,3,6.0,61,+16.624,6982961,53,1,1:48.240,168.725,1
7850,15,17,9,14,19,17,17,17,0.0,51,\N,\N,50,1,1:32.569,225.833,12
7854,16,17,9,14,2,1,1,1,10.0,71,1:32:23.081,5543081,25,1,1:13.733,210.386,1
16067,17,20,9,15,2,1,1,1,10.0,55,1:34:03.414,5643414,54,1,1:40.279,199.387,1
20323,337,4,6,8,3,1,1,1,25.0,49,1:39:20.396,5960396,45,1,1:58.287,191.706,1
20355,338,17,9,6,2,9,9,9,2.0,58,+1:07.319,5683850,47,1,1:28.358,216.061,1
20372,339,17,9,6,1,2,2,2,18.0,56,+4.849,5633261,53,1,1:37.054,205.605,1
20396,340,1,1,2,6,2,2,2,18.0,56,+1.530,6403693,13,1,1:42.061,192.273,1
20432,341,1,1,2,3,14,14,14,0.0,64,\N,\N,59,1,1:24.357,198.655,29
20444,342,20,9,5,3,2,2,2,18.0,78,+0.448,6613803,71,1,1:15.192,159.910,1
20481,343,808,4,12,9,15,15,15,0.0,57,\N,\N,57,1,1:29.165,215.519,11
20497,344,9,4,11,8,7,7,7,6.0,70,+57.300,5690756,67,1,1:16.972,203.965,1
20517,345,18,1,1,7,3,3,3,15.0,57,+12.658,6042229,54,1,1:38.766,197.521,1
20552,346,4,6,8,3,14,14,14,0.0,52,+1:02.385,5140585,52,1,1:30.874,233.373,1
20565,347,20,9,5,1,3,3,3,15.0,67,+5.121,5263985,67,1,1:15.824,217.166,1
20589,348,20,9,5,1,3,3,3,15.0,70,+19.252,6084823,70,1,1:22.362,191.491,1
20611,349,1,1,2,2,1,1,1,25.0,44,1:29:04.268,5344268,32,1,1:49.069,231.178,1
20635,350,4,6,8,1,1,1,1,25.0,53,1:16:24.572,4584572,52,1,1:24.139,247.861,1
20659,351,4,6,8,1,1,1,1,25.0,61,1:57:53.579,7073579,58,1,1:47.976,169.137,1
20684,352,17,9,6,2,2,2,2,18.0,53,+0.905,5428228,53,1,1:33.474,223.647,1
20707,353,4,6,8,3,1,1,1,25.0,55,2:48:20.810,10100810,42,1,1:50.257,183.335,1
20734,354,1,1,2,4,4,4,4,12.0,71,+14.634,5606437,66,1,1:13.851,210.049,1
20756,355,1,1,2,2,2,2,2,18.0,55,+10.162,5986999,47,1,1:41.274,197.428,1
20785,841,13,6,6,8,7,7,7,6.0,58,+1:25.186,5455445,55,1,1:28.947,214.631,1
20804,842,17,9,2,3,4,4,4,12.0,56,+26.384,5886216,46,1,1:40.571,198.415,1
20827,843,17,9,2,18,3,3,3,15.0,56,+7.555,5825781,42,1,1:38.993,198.232,1
20850,844,17,9,2,2,2,2,2,18.0,58,+8.807,5426365,48,1,1:29.703,214.226,1
20874,845,1,1,3,3,2,2,2,18.0,66,+0.630,5943931,52,1,1:26.727,193.227,1
20900,846,17,9,2,3,4,4,4,12.0,78,+23.101,7801474,78,1,1:16.234,157.724,1
20920,847,18,1,4,7,1,1,1,25.0,70,4:04:39.537,14679537,69,1,1:16.956,204.007,1
20944,848,20,9,1,1,1,1,1,25.0,57,1:39:36.169,5976169,53,1,1:41.852,191.536,1
20968,849,4,6,5,3,1,1,1,25.0,52,1:28:41.196,5321196,41,1,1:34.908,223.454,1
20992,850,1,1,3,2,1,1,1,25.0,60,1:37:30.344,5850334,59,1,1:34.302,196.526,1
21021,851,13,6,6,4,6,6,6,8.0,70,+1:23.176,6485513,61,1,1:23.415,189.073,1
21041,852,17,9,2,3,2,2,2,18.0,44,+3.741,5208634,33,1,1:49.883,229.465,1
21067,853,1,1,3,2,4,4,4,12.0,53,+17.417,4863589,52,1,1:26.187,241.971,1
21089,854,18,1,4,3,2,2,2,18.0,61,+1.737,7148494,54,1,1:48.454,168.392,1
21112,855,18,1,4,2,1,1,1,25.0,53,1:30:53.427,5453427,52,1,1:36.568,216.481,1
21136,856,20,9,1,2,1,1,1,25.0,55,1:38:01.994,5881994,55,1,1:39.605,202.941,1
21160,857,20,9,1,1,1,1,1,25.0,60,1:30:35.002,5435002,60,1,1:27.249,211.463,1
21187,858,17,9,2,4,4,4,4,12.0,55,+35.784,5867670,51,1,1:42.612,194.854,1
21208,859,17,9,2,2,1,1,1,25.0,71,1:32:17.464,5537464,71,1,1:15.324,205.942,1
21232,860,18,1,3,2,1,1,1,25.0,58,1:34:09.565,5649565,56,1,1:29.187,214.053,1
21260,861,8,208,9,10,5,5,5,10.0,56,+29.456,9921268,53,1,1:40.722,198.117,1
21289,862,155,15,14,3,10,10,10,1.0,56,+38.720,5825649,40,1,1:39.960,196.314,1
21304,863,20,9,1,1,1,1,1,25.0,57,1:35:10.990,5710990,41,1,1:36.379,202.151,1
21331,864,154,208,10,3,4,4,4,12.0,66,+14.799,5963944,53,1,1:26.250,194.295,1
21362,865,815,15,15,23,11,11,11,0.0,77,\N,\N,49,1,1:17.296,155.557,11
21379,866,20,9,1,1,4,4,4,12.0,70,+7.295,5556881,70,1,1:15.752,207.249,1
21405,867,3,131,8,6,6,6,6,8.0,57,+21.176,6277825,54,1,1:42.163,190.953,1
21428,868,8,208,9,6,5,5,5,10.0,52,+10.314,5121602,50,1,1:34.661,224.037,1
21454,869,30,131,7,3,7,7,7,6.0,67,+28.970,5494832,57,1,1:18.725,209.163,1
21475,870,20,9,1,3,4,4,4,12.0,69,+11.614,6077117,68,1,1:24.136,187.453,1
21507,871,811,3,19,17,12,12,12,0.0,44,+71.529,5420059,43,1,1:52.822,223.488,1
21526,872,3,131,8,6,7,7,7,6.0,53,+33.550,4814771,53,1,1:27.239,239.053,1
21557,873,807,10,12,11,14,14,14,0.0,59,+99.413,7325557,52,1,1:51.033,164.480,1
21568,874,20,9,1,1,1,1,1,25.0,53,1:28:56.242,5336242,52,1,1:35.774,218.276,1
21593,875,17,9,2,1,2,2,2,18.0,55,+8.231,5796882,54,1,1:42.037,198.104,1
21620,876,18,1,3,4,5,5,5,10.0,60,+26.266,5497010,60,1,1:28.203,209.176,1
21642,877,20,9,1,24,3,3,3,15.0,55,+4.163,6362830,54,1,1:43.964,192.320,1
21665,878,20,9,1,1,2,2,2,18.0,56,+0.675,5755944,56,1,1:39.347,199.772,1
21707,879,1,1,4,1,\N,R,20,0.0,54,\N,\N,38,1,1:18.069,198.701,4
21712,880,8,208,7,7,1,1,1,25.0,58,1:30:03.225,5403225,56,1,1:29.274,213.845,1
21742,881,815,1,6,9,9,9,9,2.0,56,+1:12.357,6009038,56,1,1:39.199,201.159,1
21759,882,20,9,1,9,4,4,4,12.0,56,+12.525,5799470,53,1,1:36.808,202.706,1
21778,883,20,9,1,2,1,1,1,25.0,57,1:36:00.498,5760498,55,1,1:36.961,200.938,1
21810,884,821,15,12,19,11,11,11,0.0,65,\N,\N,56,1,1:26.217,194.370,11
21823,885,20,9,1,3,2,2,2,18.0,78,+3.888,8275944,77,1,1:16.577,157.018,1
21847,886,17,9,2,5,4,4,4,12.0,70,+25.731,5554874,69,1,1:16.182,206.080,1
21867,887,17,9,2,4,2,2,2,18.0,52,+0.765,5580221,52,1,1:33.401,227.059,1
21891,888,4,6,3,8,4,4,4,12.0,60,+7.721,6082432,51,1,1:33.468,198.279,1
21913,890,17,9,2,10,4,4,4,12.0,70,+18.044,6167489,61,1,1:24.069,187.603,1
21932,891,20,9,1,2,1,1,1,25.0,44,1:23:42.196,5022196,40,1,1:50.756,227.657,1
21962,892,1,131,10,12,9,9,9,2.0,53,+33.527,4746879,51,1,1:25.849,242.924,1
21976,893,20,9,1,1,1,1,1,25.0,61,1:59:13.132,7153132,46,1,1:48.574,167.940,1
21998,894,20,9,1,1,1,1,1,25.0,55,1:43:13.701,6193701,53,1,1:41.380,199.388,1
22021,895,17,9,2,1,2,2,2,18.0,53,+7.129,5216430,44,1,1:34.587,221.015,1
22048,896,8,208,7,6,7,7,7,6.0,60,+1:07.988,5540175,60,1,1:27.679,210.426,1
22068,897,4,6,3,10,5,5,5,10.0,55,+1:07.181,5953287,55,1,1:43.434,193.305,1
22086,898,20,9,1,1,1,1,1,25.0,56,1:39:17.148,5957148,54,1,1:39.856,198.754,1
22109,899,17,9,2,4,2,2,2,18.0,71,+10.452,5566752,51,1,1:15.436,205.636,1
22130,900,3,131,6,3,1,1,1,25.0,57,1:32:58.710,5578710,19,1,1:32.478,206.436,1
22152,901,1,131,44,1,1,1,1,25.0,56,1:40:25.974,6025974,53,1,1:43.066,193.611,1
